任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
,這邊,這邊,"zhèbiān ",N,ㄓㄜˋ　ㄅㄧㄢ,基-309,309
,這些,這些,"zhèxiē ",Det,ㄓㄜˋ　ㄒㄧㄝ,基-310,310
,那些,那些,"nàxiē ",Det,ㄋㄚˋ　ㄒㄧㄝ,基-311,311
,那邊,那邊,"nàbiān ",N,ㄋㄚˋㄅㄧㄢ,基-312,312
,旅遊,旅遊,"lǚyóu ",Vi,ㄌㄩˇ　ㄧㄡˊ,基-313,313
,動物園,動物園,"dòngwùyuán ",N,ㄉㄨㄥˋ　ㄨˋ　ㄩㄢˊ,基-314,314
,出發,出發,"chūfā ",Vp,ㄔㄨ　ㄈㄚ,基-315,315
,離開,離開,"líkāi ",Vp,ㄌㄧˊ　ㄎㄞ,基-316,316
,向,向,"xiàng ",Prep,ㄒㄧㄤˋ,基-317,317
,南,南,nán,N,ㄋㄢˊ,基-318,318
,南部,南部,"nánbù ",N,ㄋㄢˊ　ㄅㄨˋ,基-319,319
,南邊,南邊,nánbiān,N,ㄋㄢˊ　ㄅㄧㄢ,基-320,320
,西,西,xī,N,ㄒㄧ,基-321,321
,西部,西部,"xībù ",N,ㄒㄧ　ㄅㄨˋ,基-322,322
,西邊,西邊,xībiān,N,ㄒㄧ　ㄅㄧㄢ,基-323,323
,北,北,běi,N,ㄅㄟˇ,基-324,324
,北部,北部,"běibù ",N,ㄅㄟˇ　ㄅㄨˋ,基-325,325
,北邊,北邊,běibiān,N,ㄅㄟˇ　ㄅㄧㄢ,基-326,326
,東,東,dōng,N,ㄉㄨㄥ,基-327,327
,東部,東部,dōngbù,N,ㄉㄨㄥ　ㄅㄨˋ,基-328,328
,東邊,東邊,dōngbiān,N,ㄉㄨㄥ　ㄅㄧㄢ,基-329,329
,經過,經過,"jīngguò ",V,ㄐㄧㄥ　ㄍㄨㄛˋ,基-330,330
,轉,轉,"zhuǎn ",V,ㄓㄨㄢˇ,基-331,331
,掉,掉,"diào ",Vpt,ㄉㄧㄠˋ,基-332,332
,一直,一直,"yīzhí ",Adv,ㄧ　ㄓˊ,基-333,333
,過去,過去,"guòqù ",Vi,ㄍㄨㄛˋ　ㄑㄩˋ,基-334,334
,最後,最後,"zuìhòu ",N,ㄗㄨㄟˋ　ㄏㄡˋ,基-335,335
,動,動,"dòng ",Vp,ㄉㄨㄥˋ,基-336,336
,躺,躺,"tǎng ",V,ㄊㄤˇ,基-337,337
,起,起,"qǐ ",Ptc,ㄑㄧˇ,基-338,338
,停,停,"tíng ",Vp,ㄊㄧㄥˊ,基-339,339
,中心,中心,"zhōngxīn ",N,ㄓㄨㄥ　ㄒㄧㄣ,基-340,340
,外國,外國,"wàiguó ",N,ㄨㄞˋ　ㄍㄨㄛˊ,基-341,341
,護照,護照,"hùzhào ",N,ㄏㄨˋ　ㄓㄠˋ,基-342,342
,行李,行李,xínglĭ,N,ㄒㄧㄥˊ　ㄌㄧˇ,基-343,343
,出口,出口,"chūkŏu ",N,ㄔㄨ　ㄎㄡˇ,基-344,344
,油,油,"yóu ",N,ㄧㄡˊ,基-345,345
,鑰匙,鑰匙,"yàoshi ",N,ㄧㄠˋ　˙ㄕ,基-346,346
,袋子,袋子,"dàizi ",N,ㄉㄞˋ　˙ㄗ,基-347,347
,公里,公里,"gōnglǐ ",M,ㄍㄨㄥ　ㄌㄧˇ,基-348,348
,方向,方向,"fāngxiàng ",N,"ㄈㄤ　ㄒㄧㄤˋ　　",基-349,349
,出現,出現,"chūxiàn ",Vp,ㄔㄨ　ㄒㄧㄢˋ,基-350,350
,交通,交通,"jiāotōng ",N,ㄐㄧㄠ　ㄊㄨㄥ,基-351,351
健康及身體照護,臉,臉,"liǎn ",N,ㄌㄧㄢˇ,基-352,352
,腿,腿,"tuǐ ",N,ㄊㄨㄟˇ,基-353,353
,腳,腳,"jiǎo ",N,ㄐㄧㄠˇ,基-354,354
,心,心,"xīn ",N,ㄒㄧㄣ,基-355,355
,鼻(子),鼻,bí(zi),N,"ㄅㄧˊ (ㄗ˙)",基-356,356
,背,背,"bèi ",N,ㄅㄟˋ,基-357,357
,嘴巴,嘴巴,zuǐba,N,ㄗㄨㄟˇ　˙ㄅㄚ,基-358,358
,脖子,脖子,"bózi ",N,ㄅㄛˊ　˙ㄗ,基-359,359
,健康,健康,"jiànkāng ",N,ㄐㄧㄢˋ　ㄎㄤ,基-360,360
,感覺,感覺,"gǎnjué ",N,ㄍㄢˇ　ㄐㄩㄝˊ,基-361,361
,感覺,感覺,"gǎnjué ",Vst,ㄍㄢˇ　ㄐㄩㄝˊ,基-362,362
,救護車,救護車,jiùhùchē,N,ㄐㄧㄡˋ　ㄏㄨˋ　ㄔㄜ,基-363,363
,咳嗽,咳嗽,"késòu ",Vi,ㄎㄜˊ　ㄙㄡˋ,基-364,364
,發燒,發燒,"fāshāo ",Vp-sep,ㄈㄚ　ㄕㄠ,基-365,365
,疼,疼,"téng ",Vs,ㄊㄥˊ,基-366,366
,保險,保險,"băoxiăn ",N,ㄅㄠˇ　ㄒㄧㄢˇ,基-367,367
,病,病,"bìng ",N,ㄅㄧㄥˋ,基-368,368
,看病,看病,"kànbìng ",V-sep,ㄎㄢˋ　ㄅㄧㄥˋ,基-369,369
,病人,病人,"bìngrén ",N,ㄅㄧㄥˋ　ㄖㄣˊ,基-370,370
,掛號,掛號,"guàhào ",V-sep,ㄍㄨㄚˋ　ㄏㄠˋ,基-371,371
,牙刷,牙刷,"yáshuā ",N,ㄧㄚˊ　ㄕㄨㄚ,基-372,372
,剪,剪,"jiăn ",V,ㄐㄧㄢˇ,基-373,373
,藥房,藥房,"yàofáng ",N,ㄧㄠˋ　ㄈㄤˊ,基-374,374
,恢復,恢復,"huīfù ",Vpt,ㄏㄨㄟ　ㄈㄨˋ,基-375,375
,救命,救命,jiùmìng,V-sep,ㄐㄧㄡˋ　ㄇㄧㄥˋ,基-376,376
,影響,影響,"yǐngxiǎng ",N,ㄧㄥˇ　ㄒㄧㄤˇ,基-377,377
,影響,影響,"yǐngxiǎng ",V,ㄧㄥˇ　ㄒㄧㄤˇ,基-378,378
購物,飽,飽,"bǎo ",Vs,ㄅㄠˇ,基-379,379
,吃飽,吃飽,"chībǎo ",Vp,ㄔㄅㄠˇ,基-380,380
,簡單,簡單,"jiǎndān ",Vs,ㄐㄧㄢˇ　ㄉㄢ,基-381,381
,書店,書店,"shūdiàn ",N,ㄕㄨ　ㄉㄧㄢˋ,基-382,382
,超級市場/超市,超級市場,"chāojíshìchǎng/chāoshì ",N,ㄔㄠ　ㄐㄧˊ　ㄕˋ　ㄔㄤˇ/ㄔㄠㄕˋ,基-383,383
,戴,戴,"dài ",V,ㄉㄞˋ,基-384,384
,試,試,"shì ",V,ㄕˋ,基-385,385
,輕,輕,"qīng ",Vs,ㄑㄧㄥ,基-386,386
,重,重,"zhòng ",Vs,ㄓㄨㄥˋ,基-387,387
,流行,流行,"liúxíng ",Vs,ㄌㄧㄡˊ　ㄒㄧㄥˊ,基-388,388
,藍色,藍色,"lánsè ",N,ㄌㄢˊ　ㄙㄜˋ,基-389,389
,綠色,綠色,"lǜsè ",N,ㄌㄩˋ　ㄙㄜˋ,基-390,390
,紅色,紅色,"hóngsè ",N,ㄏㄨㄥˊ　ㄙㄜˋ,基-391,391
,黑色,黑色,"hēisè ",N,ㄏㄟ　ㄙㄜˋ,基-392,392
,手表/錶,手表,shǒubiǎo/biǎo,N,ㄕㄡˇㄅㄧㄠˇ,基-393,393
,付,付,"fù ",V,ㄈㄨˋ,基-394,394
,襯衫,襯衫,"chènshān ",N,ㄔㄣˋ　ㄕㄢ,基-395,395
,毛衣,毛衣,"máoyī ",N,ㄇㄠˊ　ㄧ,基-396,396
,大衣,大衣,"dàyī ",N,ㄉㄚˋ　ㄧ,基-397,397
,牛仔褲,牛仔褲,"niúzǎikù ",N,ㄋㄧㄡˊ　ㄗˇ　ㄎㄨˋ,基-398,398
,雨衣,雨衣,"yŭyī ",N,ㄩˇ　ㄧ,基-399,399
,內衣,內衣,"nèiyī ",N,ㄋㄟˋ　ㄧ,基-400,400
,帽子,帽子,"màozi ",N,ㄇㄠˋ　˙ㄗ,基-401,401
,皮包,皮包,"píbāo ",N,ㄆㄧˊ　ㄅㄠ,基-402,402
,外套,外套,"wàitào ",N,ㄨㄞˋ　ㄊㄠˋ,基-403,403
,乾,乾,"gān ",Vp,ㄍㄢ,基-404,404
,舊,舊,"jiù ",Vs,ㄐㄧㄡˋ,基-405,405
,價格,價格,"jiàgé ",N,ㄐㄧㄚˋ　ㄍㄜˊ,基-406,406
,價錢,價錢,"jiàqián ",N,ㄐㄧㄚˋ　ㄑㄧㄢˊ,基-407,407
,排隊,排隊,"páiduì  ",V-sep,ㄆㄞˊ　ㄉㄨㄟˋ,基-408,408
,信用卡,信用卡,"xìnyòngkǎ ",N,ㄒㄧㄣˋ　ㄩㄥˋ　ㄎㄚˇ,基-409,409
,毛,毛,"máo ",M,ㄇㄠˊ,基-410,410
,比較,比較,"bǐjiào ",Adv,ㄅㄧˇ　ㄐㄧㄠˋ,基-411,411
,樣子,樣子,yàngzi,N,ㄧㄤˋ　˙ㄗ,基-412,412
,特別,特別,"tèbié ",Vs,ㄊㄜˋ　ㄅㄧㄝˊ,基-413,413
,一般,一般,"yībān ",Vs,ㄧ　ㄅㄢ,基-414,414
,圓,圓,"yuán ",Vs,ㄩㄢˊ,基-415,415
,光,光,"guāng ",Vp,ㄍㄨㄤ,基-416,416
,看見(˙ㄐㄧㄢ),看見(˙ㄐㄧㄢ),kànjiɑn,V,ㄎㄢˋ　˙ㄐㄧㄢ,基-417,417
,其他,其他,qítā,Det,ㄑㄧˊ　ㄊㄚ,基-418,418
,聲音,聲音,"shēngyīn ",N,ㄕㄥ　ㄧㄣ,基-419,419
,大聲,大聲,"dàshēng ",Vs,ㄉㄚˋ　ㄕㄥ,基-420,420
,好像,好像,"hǎoxiàng ",Adv,ㄏㄠˇ　ㄒㄧㄤˋ,基-421,421
,像,像,"xiàng ",Vst,ㄒㄧㄤˋ,基-422,422
,奇怪,奇怪,"qíguài ",Vs,ㄑㄧˊ　ㄍㄨㄞˋ,基-423,423
,死,死,"sǐ ",Vp,ㄙˇ,基-424,424
,髒,髒,"zāng ",Vs,ㄗㄤ,基-425,425
,差不(˙ㄅㄨ)多,差不(˙ㄅㄨ)多,"chàbuduō ",Vs,ㄔㄚˋ　˙ㄅㄨ　ㄉㄨㄛ,基-426,426
,差不(˙ㄅㄨ)多,差不(˙ㄅㄨ)多,"chàbuduō ",Adv,ㄔㄚˋ　˙ㄅㄨ　ㄉㄨㄛ,基-427,427
,一共,一共,"yīgòng ",Adv,ㄧ　ㄍㄨㄥˋ,基-428,428
,需要,需要,"xūyào ",Vst,ㄒㄩ　ㄧㄠˋ,基-429,429
飲食,牛排,牛排,"niúpái ",N,ㄋㄧㄡˊ　ㄆㄞˊ,基-430,430
,米,米,"mǐ ",N,ㄇㄧˇ,基-431,431
,三明治,三明治,"sānmíngzhì ",N,ㄙㄢ　ㄇㄧㄥˊ　ㄓˋ,基-432,432
,西瓜,西瓜,"xīguā ",N,ㄒㄧ　ㄍㄨㄚ,基-433,433
,啤酒,啤酒,"píjiǔ ",N,ㄆㄧˊ　ㄐㄧㄡˇ,基-434,434
,紅茶,紅茶,"hóngchá ",N,ㄏㄨㄥˊ　ㄔㄚˊ,基-435,435
,點菜,點菜,"diǎncài ",V-sep,ㄉㄧㄢˇ　ㄘㄞˋ,基-436,436
,包,包,"bāo ",M,ㄅㄠ,基-437,437
,酸,酸,"suān ",Vs,ㄙㄨㄢ,基-438,438
,苦,苦,"kǔ ",Vs,ㄎㄨˇ,基-439,439
,鹹,鹹,"xián ",Vs,ㄒㄧㄢˊ,基-440,440
,辣,辣,"là ",Vs,ㄌㄚˋ,基-441,441
,點心,點心,"diǎnxīn ",N,ㄉㄧㄢˇ　ㄒㄧㄣ,基-442,442
,冰淇淋,冰淇淋,"bīngqílín ",N,ㄅㄧㄥ　ㄑㄧˊ　ㄌㄧㄣˊ,基-443,443
,餅乾,餅乾,"bǐnggān ",N,ㄅㄧㄥˇ　ㄍㄢ,基-444,444
,漢堡,漢堡,"hànbǎo ",N,ㄏㄢˋ　ㄅㄠˇ,基-445,445
,青菜,青菜,"qīngcài ",N,ㄑㄧㄥ　ㄘㄞˋ,基-446,446
,鹽,鹽,"yán ",N,ㄧㄢˊ,基-447,447
,糖,糖,"táng ",N,ㄊㄤˊ,基-448,448
,煮,煮,"zhǔ ",V,ㄓㄨˇ,基-449,449
,碗,碗,"wǎn ",M,ㄨㄢˇ,基-450,450
,盤,盤,"pán ",M,ㄆㄢˊ,基-451,451
,條,條,"tiáo ",M,ㄊㄧㄠˊ,基-452,452
,位,位,"wèi ",M,ㄨㄟˋ,基-453,453
,種,種,"zhǒng ",M,ㄓㄨㄥˇ,基-454,454
,口,口,"kǒu ",M,ㄎㄡˇ,基-455,455
,夠,夠,"gòu ",Vs-pred,ㄍㄡˋ,基-456,456
,任何,任何,"rènhé ",Det,ㄖㄣˋ　ㄏㄜˊ,基-457,457
,味道,味道,"wèidào ",N,ㄨㄟˋ　ㄉㄠˋ,基-458,458
,香,香,"xiāng ",Vs,ㄒㄧㄤ,基-459,459
,全部,全部,"quánbù ",Det,ㄑㄩㄢˊ　ㄅㄨˋ,基-460,460
,所有,所有,"suǒyǒu ",Det,ㄙㄨㄛˇ　ㄧㄡˇ,基-461,461
,許多,許多,"xǔduō ",Det,ㄒㄩˇ　ㄉㄨㄛ,基-462,462
,新鮮(˙ㄒㄧㄢ),新鮮(˙ㄒㄧㄢ),"xīnxian ",Vs,ㄒㄧㄣ　˙ㄒㄧㄢ,基-463,463
,烤,烤,"kǎo ",V,ㄎㄠˇ,基-464,464
,嚐,嚐,"cháng ",V,ㄔㄤˊ,基-465,465
,裝,裝,"zhuāng ",V,ㄓㄨㄤ,基-466,466
,刀(子),刀,dāo(zi),N,ㄉㄠ,基-467,467
,叉(子),叉,chā(zi),N,ㄔㄚ,基-468,468
,湯匙,湯匙,"tāngchí ",N,ㄊㄤ　ㄔˊ,基-469,469
,筷子,筷子,"kuàizi ",N,ㄎㄨㄞˋ　˙ㄗ,基-470,470
其他,沒有,沒有,méiyǒu,Ptc,ㄇㄟˊ　ㄧㄡˇ,基-471,471
,別,別,"bié ",Adv,ㄅㄧㄝˊ,基-472,472
,不用,不用,"bùyòng ",Adv,ㄅㄨˋ　ㄩㄥˋ,基-473,473
,不但,不但,"bùdàn ",Conj,ㄅㄨˋ　ㄉㄢˋ,基-474,474
,只好,只好,"zhǐhǎo ",Adv,ㄓˇ　ㄏㄠˇ,基-475,475
,正在,正在,"zhèngzài ",Adv,ㄓㄥˋ　ㄗㄞˋ,基-476,476
,馬上,馬上,"mǎshàng ",Adv,ㄇㄚˇ　ㄕㄤˋ,基-477,477
,把,把,"bǎ ",Ptc,ㄅㄚˇ,基-478,478
,被,被,"bèi ",Ptc,ㄅㄟˋ,基-479,479
,讓,讓,"ràng ",Ptc,ㄖㄤˋ,基-480,480
,或,或,"huò ",Conj,ㄏㄨㄛˋ,基-481,481
,或是,或是,"huòshì ",Conj,ㄏㄨㄛˋ　ㄕˋ,基-482,482
,可能,可能,"kěnéng ",N,ㄎㄜˇ　ㄋㄥˊ,基-483,483
,然後,然後,"ránhòu ",Adv,ㄖㄢˊ　ㄏㄡˋ,基-484,484
,但是,但是,"dànshì ",Conj,ㄉㄢˋ　˙ㄕ,基-485,485
,而且,而且,"érqiě ",Conj,ㄦˊ　ㄑㄧㄝˇ,基-486,486
,雖然,雖然,"suīrán ",Conj,ㄙㄨㄟ　ㄖㄢˊ,基-487,487
,原來,原來,"yuánlái ",Adv,ㄩㄢˊ　ㄌㄞˊ,基-488,488
,也許,也許,"yěxǔ ",Adv,ㄧㄝˇ　ㄒㄩˇ,基-489,489
,為了,為了,"wèile ",Prep,ㄨㄟˋㄌㄜ˙,基-490,490
,必須,必須,"bìxū ",Adv,ㄅㄧˋ　ㄒㄩ,基-491,491
,永遠,永遠,"yǒngyuǎn ",Adv,ㄩㄥˇ　ㄩㄢˇ,基-492,492
,邊/邊兒,邊,biān/biānr,N,ㄅㄧㄢ/ㄅㄧㄢㄦ,基-493,493
,那麼,那麼,nàme,Adv,ㄋㄚˋ　˙ㄇㄜ,基-494,494
,這麼,這麼,zhème,Adv,ㄓㄜˋ　˙ㄇㄜ,基-495,495
,本來,本來,"běnlái ",Adv,ㄅㄣˇ　ㄌㄞˊ,基-496,496
,要是,要是,"yàoshì ",Conj,ㄧㄠˋ　ㄕˋ,基-497,497
