任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
,運動,運動,"yùndòng ",Vi,ㄩㄣˋ　ㄉㄨㄥˋ,準2-99,100
,運動,運動,"yùndòng ",N,ㄩㄣˋ　ㄉㄨㄥˋ,準2-100,101
,開始,開始,"kāishǐ ",Vp,ㄎㄞ　ㄕˇ,準2-101,102
,走路,走路,"zǒulù ",V-sep,ㄗㄡˇ　ㄌㄨˋ,準2-102,103
,唱歌,唱歌,"chànggē ",V-sep,ㄔㄤˋ　ㄍㄜ,準2-103,104
與他人的關係,信,信,"xìn ",N,ㄒㄧㄣˋ,準2-104,105
,喂(ㄨㄟˊ)/喂,喂(ㄨㄟˊ)/喂,wéi/wèi,Ptc,ㄨㄟˊ/ㄨㄟˋ,準2-105,106
,介紹,介紹,"jièshào ",V,ㄐㄧㄝˋ　ㄕㄠˋ,準2-106,107
,換,換,"huàn ",V,ㄏㄨㄢˋ,準2-107,108
,認識(˙ㄕ),認識(˙ㄕ),"rènshi ",Vpt,ㄖㄣˋ　˙ㄕ,準2-108,109
,沒關係(˙ㄒㄧ),沒關係(˙ㄒㄧ),"méiguānxi ",Vs,ㄇㄟˊ　ㄍㄨㄢ　˙ㄒㄧ,準2-109,110
旅行,怎麼,怎麼,"zěnme ",Adv,ㄗㄣˇ　˙ㄇㄜ,準2-110,111
,哪,哪,"nǎ ",Det,ㄋㄚˇ,準2-111,112
,哪裡/哪兒,哪裡/哪兒,"nǎlǐ/nǎr ",N,ㄋㄚˇㄌㄧˇ/ㄋㄚˇㄦ,準2-112,113
,這裡/這兒,這裡/這兒,"zhèlǐ/zhèr ",N,"ㄓㄜˋ　ㄌㄧˇ/ㄓㄜˋ  ㄦ",準2-113,114
,那裡/那兒,那裡/那兒,"nàlǐ/nàr ",N,"ㄋㄚˋ　ㄌㄧˇ/ㄋㄚˋ  ㄦ",準2-114,115
,上(面˙ㄇㄧㄢ),上,shàng(mian),N,"ㄕㄤˋ  (˙ㄇㄧㄢ)",準2-115,116
,下(面˙ㄇㄧㄢ),下,xià(mian),N,ㄒㄧㄚˋ　(˙ㄇㄧㄢ),準2-116,117
,外(面˙ㄇㄧㄢ),外,"wài(mian) ",N,ㄨㄞˋ　(˙ㄇㄧㄢ),準2-117,118
,前(面˙ㄇㄧㄢ),前,qián(mian),N,ㄑㄧㄢˊ　(˙ㄇㄧㄢ),準2-118,119
,後(面˙ㄇㄧㄢ),後,hòu(mian),N,ㄏㄡˋ　(˙ㄇㄧㄢ),準2-119,120
,右邊,右邊,yòubiān,N,ㄧㄡˋ　ㄅㄧㄢ,準2-120,121
,左邊,左邊,zuǒbiān,N,ㄗㄨㄛˇ　ㄅㄧㄢ,準2-121,122
,旁邊,旁邊,pángbiān,N,ㄆㄤˊ　ㄅㄧㄢ,準2-122,123
,中間,中間,"zhōngjiān ",N,ㄓㄨㄥ　ㄐㄧㄢ,準2-123,124
,地鐵,地鐵,"dìtiě ",N,ㄉㄧˋ　ㄊㄧㄝˇ,準2-124,125
,地方,地方,"dìfāng ",N,ㄉㄧˋ　ㄈㄤ,準2-125,126
,附近,附近,"fùjìn ",N,ㄈㄨˋ　ㄐㄧㄣˋ,準2-126,127
,離,離,"lí ",Prep,ㄌㄧˊ,準2-127,128
,往,往,"wǎng ",Prep,ㄨㄤˇ,準2-128,129
,送,送,"sòng ",V,ㄙㄨㄥˋ,準2-129,130
,帶,帶,"dài ",V,ㄉㄞˋ,準2-130,131
,放,放,"fàng ",V,ㄈㄤˋ,準2-131,132
,拿,拿,"ná ",V,ㄋㄚˊ,準2-132,133
,進來,進來,"jìnlái ",Vi,ㄐㄧㄣˋ　ㄌㄞˊ,準2-134,134
,出去,出去,"chūqù ",Vi,ㄔㄨ　ㄑㄩˋ,準2-135,135
,站,站,"zhàn ",Vi,ㄓㄢˋ,準2-136,136
,快,快,"kuài ",Vs,ㄎㄨㄞˋ,準2-137,137
,慢,慢,"màn ",Vs,ㄇㄢˋ,準2-138,138
,近,近,"jìn ",Vs,ㄐㄧㄣˋ,準2-139,139
,遠,遠,"yuǎn ",Vs,ㄩㄢˇ,準2-140,140
健康及身體照護,手,手,"shǒu ",N,ㄕㄡˇ,準2-141,141
,身體,身體,"shēntǐ ",N,ㄕㄣ　ㄊㄧˇ,準2-142,142
,眼睛,眼睛,"yǎnjīng ",N,ㄧㄢˇ　ㄐㄧㄥ,準2-143,143
,藥,藥,"yào ",N,ㄧㄠˋ,準2-144,144
,累,累,"lèi ",Vs,ㄌㄟˋ,準2-145,145
購物,雙,雙,"shuāng ",M,ㄕㄨㄤ,準2-146,146
,元,元,"yuán ",M,ㄩㄢˊ,準2-147,147
,鞋子,鞋子,"xiézi ",N,ㄒㄧㄝˊ　˙ㄗ,準2-148,148
,褲子,褲子,"kùzi ",N,ㄎㄨˋㄗ˙,準2-149,149
,市場,市場,"shìchǎng ",N,ㄕˋ　ㄔㄤˇ,準2-150,150
,衣服(˙ㄈㄨ),衣服(˙ㄈㄨ),yīfu,N,ㄧ　˙ㄈㄨ,準2-151,151
,比,比,"bǐ ",Prep,ㄅㄧˇ,準2-152,152
,要,要,"yào ",V,ㄧㄠˋ,準2-153,153
,要,要,"yào ",Vaux,ㄧㄠˋ,準2-154,154
,長,長,"cháng ",Vs,ㄔㄤˊ,準2-155,155
,新,新,"xīn ",Vs,ㄒㄧㄣ,準2-156,156
,一樣,一樣,"yīyàng ",Vs,ㄧ　ㄧㄤˋ,準2-157,157
,好吃,好吃,"hǎochī ",Vs,ㄏㄠˇ　ㄔ,準2-158,158
飲食,件,件,"jiàn ",M,ㄐㄧㄢˋ,準2-159,159
,杯,杯,"bēi ",M,ㄅㄟ,準2-160,160
,瓶,瓶,"píng ",M,ㄆㄧㄥˊ,準2-161,161
,菜,菜,"cài ",N,ㄘㄞˋ,準2-162,162
,蘋果,蘋果,"píngguǒ ",N,ㄆㄧㄥˊ　ㄍㄨㄛˇ,準2-163,163
,肉,肉,"ròu ",N,ㄖㄡˋ,準2-164,164
,酒,酒,"jiǔ ",N,ㄐㄧㄡˇ,準2-165,165
,喝,喝,"hē ",V,ㄏㄜ,準2-166,166
,少,少,"shǎo ",Vs-pred,ㄕㄠˇ,準2-167,167
,多,多,"duō ",Vs-pred,ㄉㄨㄛ,準2-168,168
,多,多,"duō ",Adv,ㄉㄨㄛ,準2-169,169
其他,一起,一起,"yīqǐ ",Adv,ㄧ　ㄑㄧˇ,準2-170,170
,因為,因為,"yīnwèi ",Conj,ㄧㄣ　ㄨㄟˋ,準2-171,171
,和,和,"hé ",Conj,ㄏㄜˊ,準2-172,172
,所以,所以,"suǒyǐ ",Conj,ㄙㄨㄛˇ　ㄧˇ,準2-173,173
,跟,跟,"gēn ",Conj,ㄍㄣ,準2-174,174
,著,著,"zhe ",Ptc,˙ㄓㄜ,準2-175,175
,可能,可能,"kěnéng ",Vaux,ㄎㄜˇ　ㄋㄥˊ,準2-176,176
