任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
個人資料,男,男,"nán ",N,ㄋㄢˊ,準2-1,1
,女,女,"nǚ ",N,ㄋㄩˇ,準2-2,2
,孩子,孩子,"háizi ",N,ㄏㄞˊ　˙ㄗ,準2-3,3
,小姐,小姐,"xiǎojiě ",N,ㄒㄧㄠˇ　ㄐㄧㄝˇ,準2-4,4
,先生,先生,"xiānshēng ",N,ㄒㄧㄢ　ㄕㄥ,準2-5,5
,太太(˙ㄊㄞ),太太(˙ㄊㄞ),"tàitai ",N,ㄊㄞˋ　˙ㄊㄞ,準2-6,6
,女兒,女兒,"nǚér ",N,ㄋㄩˇ　ㄦˊ,準2-7,7
,兒子,兒子,érzi,N,ㄦˊ　˙ㄗ,準2-8,8
,大家,大家,"dàjiā ",N,ㄉㄚˋ　ㄐㄧㄚ,準2-9,9
,路,路,"lù ",N,ㄌㄨˋ,準2-10,10
,手機,手機,"shǒujī ",N,ㄕㄡˇㄐㄧ,準2-11,11
,號碼,號碼,"hàomǎ ",N,ㄏㄠˋ　ㄇㄚˇ,準2-12,12
,明年,明年,"míngnián ",N,ㄇㄧㄥˊ　ㄋㄧㄢˊ,準2-13,13
,去年,去年,"qùnián ",N,ㄑㄩˋ　ㄋㄧㄢˊ,準2-14,14
,生日,生日,"shēngrì ",N,ㄕㄥ　ㄖˋ,準2-15,15
,月,月,"yuè ",N,ㄩㄝˋ,準2-16,16
,日,日,"rì ",N,ㄖˋ,準2-17,17
,星期,星期,xīngqí,N,ㄒㄧㄥ　ㄑㄧˊ,準2-18,18
,星期天/星期日,星期天,"xīngqítiān/xīngqírì ",N,ㄒㄧㄥ　ㄑㄧˊ　ㄊㄧㄢ/ㄒㄧㄥ　ㄑㄧˊ　ㄖˋ,準2-19,19
,週末,週末,"zhōumò ",N,ㄓㄡ　ㄇㄛˋ,準2-20,20
,號,號,"hào ",M,ㄏㄠˋ,準2-177,21
,天,天,"tiān ",N,ㄊㄧㄢ,準2-21,22
,天,天,"tiān ",M,ㄊㄧㄢ,準2-22,23
,從,從,"cóng ",Prep,ㄘㄨㄥˊ,準2-23,24
,在,在,"zài ",Prep,ㄗㄞˋ,準2-24,25
,在,在,"zài ",Vst,ㄗㄞˋ,準2-25,26
,笑,笑,"xiào ",Vi,ㄒㄧㄠˋ,準2-26,27
,愛,愛,"ài ",Vst,ㄞˋ,準2-27,28
,好看,好看,"hǎokàn ",Vs,ㄏㄠˇ　ㄎㄢˋ,準2-28,29
,快樂,快樂,"kuàilè ",Vs,ㄎㄨㄞˋ　ㄌㄜˋ,準2-29,30
,太,太,"tài ",Adv,ㄊㄞˋ,準2-30,31
,非常,非常,"fēicháng ",Adv,ㄈㄟ　ㄔㄤˊ,準2-31,32
工作,工作,工作,"gōngzuò ",N,ㄍㄨㄥ　ㄗㄨㄛˋ,準2-32,33
,醫生,醫生,"yīshēng ",N,ㄧ　ㄕㄥ,準2-33,34
,醫院,醫院,"yīyuàn ",N,ㄧ　ㄩㄢˋ,準2-34,35
,公司,公司,"gōngsī ",N,ㄍㄨㄥ　ㄙ,準2-35,36
,賣,賣,"mài ",V,ㄇㄞˋ,準2-36,37
,準備,準備,"zhǔnbèi ",V,ㄓㄨㄣˇ　ㄅㄟˋ,準2-37,38
教育,一點/一點兒,一點/一點兒,"yīdiǎn(r) ",Det,"ㄧ　ㄉㄧㄢˇ/ㄧ　ㄉㄧㄢˇ ㄦ",準2-38,39
,一些,一些,"yīxiē ",Det,ㄧ　ㄒㄧㄝ,準2-39,40
,本,本,"běn ",M,ㄅㄣˇ,準2-40,41
,張,張,"zhāng ",M,ㄓㄤ,準2-41,42
,中學,中學,"zhōngxué ",N,ㄓㄨㄥ　ㄒㄩㄝˊ,準2-42,43
,年級,年級,"niánjí ",N,ㄋㄧㄢˊ　ㄐㄧˊ,準2-43,44
,英文,英文,"yīngwén ",N,ㄧㄥ　ㄨㄣˊ,準2-44,45
,紙,紙,"zhǐ ",N,ㄓˇ,準2-45,46
,問題,問題,"wèntí ",N,ㄨㄣˋ　ㄊㄧˊ,準2-46,47
,意思,意思,"yìsi ",N,ㄧˋ　˙ㄙ,準2-47,48
,圖書館,圖書館,"túshūguǎn ",N,ㄊㄨˊ　ㄕㄨ　ㄍㄨㄢˇ,準2-48,49
,數學,數學,"shùxué ",N,ㄕㄨˋ　ㄒㄩㄝˊ,準2-49,50
,歷史,歷史,lìshĭ,N,ㄌㄧˋ　ㄕˇ,準2-50,51
,餐廳/飯館,餐廳,cāntīng/fànguǎn,N,ㄘㄢ　ㄊㄧㄥ/ㄈㄢˋ　ㄍㄨㄢˇ,準2-51,52
,學習,學習,"xuéxí ",V,ㄒㄩㄝˊ　ㄒㄧˊ,準2-52,53
,參加,參加,"cānjiā ",V,ㄘㄢ　ㄐㄧㄚ,準2-53,54
,畫,畫,huà,V,ㄏㄨㄚˋ,準2-54,55
,讀,讀,"dú ",V,ㄉㄨˊ,準2-55,56
,會,會,"huì ",Vaux,ㄏㄨㄟˋ,準2-56,57
,有趣,有趣,"yǒuqù ",Vs,ㄧㄡˇ　ㄑㄩˋ,準2-57,58
,為什麼,為什麼,"wèishénme ",Vs,ㄨㄟˋ　ㄕㄣˊ　˙ㄇㄜ,準2-58,59
,下課,下課,"xiàkè ",V-sep,ㄒㄧㄚˋ　ㄎㄜˋ,準2-59,60
,說話,說話,"shuōhuà ",V-sep,ㄕㄨㄛ　ㄏㄨㄚˋ,準2-60,61
,考試,考試,"kǎoshì ",V-sep,ㄎㄠˇ　ㄕˋ,準2-61,62
,考試,考試,"kǎoshì ",N,ㄎㄠˇ　ㄕˋ,準2-62,63
,懂,懂,"dǒng ",Vst,ㄉㄨㄥˇ,準2-63,64
房屋與家庭、環境,天氣,天氣,"tiānqì ",N,ㄊㄧㄢ　ㄑㄧˋ,準2-64,65
,房子,房子,"fángzi ",N,ㄈㄤˊ　˙ㄗ,準2-65,66
,門,門,"mén ",N,ㄇㄣˊ,準2-66,67
,山,山,"shān ",N,ㄕㄢ,準2-67,68
,客廳,客廳,"kètīng ",N,ㄎㄜˋ　ㄊㄧㄥ,準2-68,69
,河,河,"hé ",N,ㄏㄜˊ,準2-69,70
,狗,狗,"gǒu ",N,ㄍㄡˇ,準2-70,71
,花,花,huā,N,ㄏㄨㄚ,準2-71,72
,風,風,"fēng ",N,ㄈㄥ,準2-72,73
,海,海,"hǎi ",N,ㄏㄞˇ,準2-73,74
,魚,魚,"yú ",N,ㄩˊ,準2-74,75
,樹,樹,"shù ",N,ㄕㄨˋ,準2-75,76
,開,開,"kāi ",V,ㄎㄞ,準2-76,77
,冷,冷,"lěng ",Vs,ㄌㄥˇ,準2-77,78
,熱,熱,"rè ",Vs,ㄖㄜˋ,準2-78,79
,洗澡,洗澡,"xǐzǎo ",V-sep,ㄒㄧˇ　ㄗㄠˇ,準2-79,80
日常生活,咖啡,咖啡,"kāfēi ",N,ㄎㄚ　ㄈㄟ,準2-80,81
,茶,茶,"chá ",N,ㄔㄚˊ,準2-81,82
,生活,生活,"shēnghuó ",N,ㄕㄥ　ㄏㄨㄛˊ,準2-82,83
,用,用,"yòng ",V,ㄩㄥˋ,準2-83,84
,洗,洗,"xǐ ",V,ㄒㄧˇ,準2-84,85
,穿,穿,"chuān ",V,ㄔㄨㄢ,準2-85,86
,起床,起床,"qǐchuáng ",Vp,ㄑㄧˇ　ㄔㄨㄤˊ,準2-86,87
,方便,方便,"fāngbiàn ",Vs,ㄈㄤ　ㄅㄧㄢˋ,準2-87,88
,睡覺,睡覺,"shuìjiào ",V-sep,ㄕㄨㄟˋ　ㄐㄧㄠˋ,準2-88,89
閒暇時間、娛樂,先,先,"xiān ",Adv,ㄒㄧㄢ,準2-89,90
,常常,常常,"chángcháng ",Adv,ㄔㄤˊ　ㄔㄤˊ,準2-90,91
,每,每,"měi ",Det,ㄇㄟˇ,準2-91,92
,次,次,"cì ",M,ㄘˋ,準2-92,93
,音樂,音樂,"yīnyuè ",N,ㄧㄣ　ㄩㄝˋ,準2-93,94
,票,票,"piào ",N,ㄆㄧㄠˋ,準2-94,95
,照片,照片,"zhàopiàn ",N,ㄓㄠˋ　ㄆㄧㄢˋ,準2-95,96
,打,打,"dǎ ",V,ㄉㄚˇ,準2-96,97
,玩,玩,wán,V,ㄨㄢˊ,準2-97,98
,跑,跑,"pǎo ",Vi,ㄆㄠˇ,準2-98,99
