任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條編號
,說,說,"shuō ",V,ㄕㄨㄛ,準1-79,79
,寫,寫,"xiě ",V,ㄒㄧㄝˇ,準1-80,80
,聽,聽,"tīng ",V,ㄊㄧㄥ,準1-81,81
,練習,練習,"liànxí ",V,ㄌㄧㄢˋ　ㄒㄧˊ,準1-82,82
,能,能,"néng ",Vaux,ㄋㄥˊ,準1-83,83
,可以,可以,"kěyǐ ",Vaux,ㄎㄜˇ　ㄧˇ,準1-84,84
,上課,上課,"shàngkè ",V-sep,ㄕㄤˋ　ㄎㄜˋ,準1-85,85
,知道,知道,"zhīdào ",Vst,ㄓ　ㄉㄠˋ,準1-86,86
房屋與家庭、環境,電視(機),電視,"diànshì(jī) ",N,"ㄉㄧㄢˋ　ㄕˋ （ㄐㄧ）",準1-87,87
,水,水,"shuǐ ",N,ㄕㄨㄟˇ,準1-88,88
閒暇時間、娛樂,再,再,"zài ",Adv,ㄗㄞˋ,準1-89,89
,書,書,"shū ",N,ㄕㄨ,準1-90,90
,電影,電影,"diànyǐng ",N,ㄉㄧㄢˋ　ㄧㄥˇ,準1-91,91
,以前,以前,"yǐqián ",N,ㄧˇ　ㄑㄧㄢˊ,準1-92,92
,以後,以後,"yǐhòu ",N,ㄧˇ　ㄏㄡˋ,準1-93,93
,走,走,"zǒu ",V,ㄗㄡˇ,準1-94,94
,等,等,"děng ",V,ㄉㄥˇ,準1-95,95
,看,看,"kàn ",V,ㄎㄢˋ,準1-96,96
與他人的關係,什麼,什麼,shénme,N,ㄕㄣˊ　˙ㄇㄜ,準1-97,97
,朋友,朋友,"péngyǒu ",N,ㄆㄥˊ　ㄧㄡˇ,準1-98,98
,東西,東西,"dōngxi ",N,ㄉㄨㄥ　˙ㄒㄧ,準1-99,99
,吧,吧,"ba ",Ptc,˙ㄅㄚ,準1-100,100
,呢,呢,"ne ",Ptc,˙ㄋㄜ,準1-101,101
,嗎,嗎,ma,Ptc,˙ㄇㄚ,準1-102,102
,找,找,"zhǎo ",V,ㄓㄠˇ,準1-103,103
,做,做,"zuò ",V,ㄗㄨㄛˋ,準1-104,104
,再見,再見,"zàijiàn ",Vi,ㄗㄞˋ　ㄐㄧㄢˋ,準1-105,105
,怎麼樣,怎麼樣,"zěnmeyàng ",Vs,ㄗㄣˇ　˙ㄇㄜ　ㄧㄤˋ,準1-106,106
,叫,叫,"jiào ",Vst,ㄐㄧㄠˋ,準1-107,107
,謝謝(˙ㄒㄧㄝ),謝謝,xièxie,Vst,ㄒㄧㄝˋ　˙ㄒㄧㄝ,準1-108,108
,對不(˙ㄅㄨ)起,對不(˙ㄅㄨ)起,"duìbuqǐ ",,ㄉㄨㄟˋ　˙ㄅㄨ　ㄑㄧˇ,準1-109,109
,請問,請問,"qǐngwèn ",,ㄑㄧㄥˇ　ㄨㄣˋ,準1-110,110
旅行,這,這,"zhè ",Det,ㄓㄜˋ,準1-111,111
,那,那,"nà ",Det,ㄋㄚˋ,準1-112,112
,公共汽車/公車,公共汽車,"gōnggòngqìchē/gōngchē ",N,ㄍㄨㄥ　ㄍㄨㄥˋ　ㄑㄧˋ　ㄔㄜ/ㄍㄨㄥ　ㄔㄜ,準1-113,113
,車(子),車,"chē(zi) ",N,"ㄔㄜ (ㄗ˙)",準1-114,114
,到,到,"dào ",V,ㄉㄠˋ,準1-115,115
,去,去,"qù ",V,ㄑㄩˋ,準1-116,116
,回,回,"huí ",V,ㄏㄨㄟˊ,準1-117,117
