任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
個人資料,姓名,姓名,"xìngmíng ",N,ㄒㄧㄥˋ　ㄇㄧㄥˊ,入-1,1
,公園,公園,"gōngyuán ",N,ㄍㄨㄥ　ㄩㄢˊ,入-2,2
,國家,國家,"guójiā ",N,ㄍㄨㄛˊ　ㄐㄧㄚ,入-3,3
,城市,城市,"chéngshì ",N,ㄔㄥˊ　ㄕˋ,入-4,4
,街,街,"jiē ",N,ㄐㄧㄝ,入-5,5
,電子郵件,電子郵件,diàn​zǐ​yóu​jiàn,N,ㄉㄧㄢˋ　ㄗˇ　ㄧㄡˊ　ㄐㄧㄢˋ,入-6,6
,結婚,結婚,"jiéhūn ",Vp-sep,ㄐㄧㄝˊ　ㄏㄨㄣ,入-7,7
,小時,小時,"xiǎoshí ",N,ㄒㄧㄠˇ　ㄕˊ,入-8,8
,點鐘,點鐘,diǎnzhōng,M,ㄉㄧㄢˇ　ㄓㄨㄥ,入-9,9
,分鐘,分鐘,fēnzhōng,M,ㄈㄣ　ㄓㄨㄥ,入-11,10
,夏天,夏天,"xiàtiān ",N,ㄒㄧㄚˋ　ㄊㄧㄢ,入-13,11
,冬天,冬天,"dōngtiān ",N,ㄉㄨㄥ　ㄊㄧㄢ,入-14,12
,秋天,秋天,"qiūtiān ",N,ㄑㄧㄡ　ㄊㄧㄢ,入-15,13
,春天,春天,"chūntiān ",N,ㄔㄨㄣ　ㄊㄧㄢ,入-16,14
,年輕,年輕,"niánqīng ",Vs,ㄋㄧㄢˊ　ㄑㄧㄥ,入-17,15
,老,老,"lǎo ",Vs,ㄌㄠˇ,入-18,16
,男生,男生,"nánshēng ",N,ㄋㄢˊ　ㄕㄥ,入-19,17
,女生,女生,"nǚshēng ",N,ㄋㄩˇ　ㄕㄥ,入-20,18
,小孩,小孩,xiǎohái,N,ㄒㄧㄠˇ　ㄏㄞˊ,入-21,19
,家人,家人,"jiārén ",N,ㄐㄧㄚ　ㄖㄣˊ,入-22,20
,緊張,緊張,"jǐnzhāng ",Vs,ㄐㄧㄣˇ　ㄓㄤ,入-23,21
,可愛,可愛,"kěài ",Vs,ㄎㄜˇ　ㄞˋ,入-24,22
,胖,胖,"pàng ",Vs,ㄆㄤˋ,入-25,23
,矮,矮,"ǎi ",Vs,ㄞˇ,入-26,24
,瘦,瘦,"shòu ",Vs,ㄕㄡˋ,入-27,25
,千,千,"qiān ",N,ㄑㄧㄢ,入-28,26
,萬,萬,"wàn ",N,ㄨㄢˋ,入-29,27
,在,在,"zài ",Adv,ㄗㄞˋ,入-30,28
工作,辦公室,辦公室,"bàngōngshì ",N,ㄅㄢˋ　ㄍㄨㄥ　ㄕˋ,入-31,29
,工廠,工廠,"gōngchăng ",N,ㄍㄨㄥ　ㄔㄤˇ,入-32,30
,工人,工人,"gōngrén ",N,ㄍㄨㄥ　ㄖㄣˊ,入-33,31
