任務領域,詞彙,展開表,漢語拼音,詞類,注音,詞條編號,詞表詞條數
,護士,護士,"hùshì ",N,ㄏㄨˋ　ㄕˋ,入-34,32
,司機,司機,"sījī ",N,ㄙ　ㄐㄧ,入-35,33
,老闆/老板,老闆,lǎobǎn,N,ㄌㄠˇ　ㄅㄢˇ,入-36,34
,同事,同事,"tóngshì  ",N,ㄊㄨㄥˊ　ㄕˋ,入-37,35
,上班,上班,"shàngbān ",V-sep,ㄕㄤˋ　ㄅㄢ,入-38,36
教育,小學,小學,"xiǎoxué ",N,ㄒㄧㄠˇ　ㄒㄩㄝˊ,入-39,37
,上學,上學,"shàngxué ",V-sep,ㄕㄤˋ　ㄒㄩㄝˊ,入-40,38
,作業,作業,"zuòyè ",N,ㄗㄨㄛˋ　ㄧㄝˋ,入-41,39
,功課,功課,"gōngkè ",N,ㄍㄨㄥ　ㄎㄜˋ,入-42,40
,請假,請假,"qǐngjià ",V-sep,ㄑㄧㄥˇ　ㄐㄧㄚˋ,入-43,41
,教室,教室,"jiàoshì ",N,ㄐㄧㄠˋ　ㄕˋ,入-45,42
,洗手間/廁所,洗手間,xǐshǒujiān/cèsuǒ,N,ㄒㄧˇ　ㄕㄡˇ　ㄐㄧㄢ/ㄘㄜˋ　ㄙㄨㄛˇ,入-46,43
,語言,語言,"yǔyán ",N,ㄩˇ　ㄧㄢˊ,入-47,44
,科學,科學,"kēxué ",N,ㄎㄜ　ㄒㄩㄝˊ,入-48,45
,華語/華文,華語,"huáyǔ/huáwén ",N,ㄏㄨㄚˊ　ㄩˇ/ㄏㄨㄚˊ　ㄨㄣˊ,入-49,46
,黑板,黑板,"hēibǎn ",N,ㄏㄟ　ㄅㄢˇ,入-50,47
,課本,課本,"kèběn ",N,ㄎㄜˋ　ㄅㄣˇ,入-51,48
,句子,句子,"jùzi ",N,ㄐㄩˋ　˙ㄗ,入-52,49
,注意,注意,"zhùyì ",Vst,ㄓㄨˋ　ㄧˋ,入-53,50
,讀書,讀書,"dúshū ",V-sep,ㄉㄨˊ　ㄕㄨ,入-54,51
,回答,回答,"huídá ",V,ㄏㄨㄟˊ　ㄉㄚˊ,入-55,52
,休息,休息,"xiūxí ",Vi,ㄒㄧㄡ　ㄒㄧˊ,入-56,53
,決定,決定,"juédìng ",N,ㄐㄩㄝˊ　ㄉㄧㄥˋ,入-57,54
,圖片,圖片,"túpiàn ",N,ㄊㄨˊ　ㄆㄧㄢˋ,入-58,55
,畫/畫兒,畫/畫兒,huà/huàr,N,"ㄏㄨㄚˋ/ㄏㄨㄚˋ  ㄦ",入-59,56
,記得,記得,jìde,Vst,ㄐㄧˋ　˙ㄉㄜ,入-60,57
房屋與家庭、環境,房間,房間,"fángjiān ",N,ㄈㄤˊ　ㄐㄧㄢ,入-61,58
,廚房,廚房,"chúfáng ",N,ㄔㄨˊ　ㄈㄤˊ,入-62,59
,窗/窗戶(˙ㄏㄨ),窗/窗戶(˙ㄏㄨ),chuānghu,N,ㄔㄨㄤ/ㄔㄨㄤ　˙ㄏㄨ,入-63,60
,樓,樓,"lóu ",M,ㄌㄡˊ,入-64,61
,樓上,樓上,"lóushàng ",N,ㄌㄡˊ　ㄕㄤˋ,入-65,62
,樓下,樓下,"lóuxià ",N,ㄌㄡˊ　ㄒㄧㄚˋ,入-66,63
,電梯,電梯,"diàntī ",N,ㄉㄧㄢˋ　ㄊㄧ,入-67,64
,家具,家具,"jiājù ",N,ㄐㄧㄚ　ㄐㄩˋ,入-68,65
,椅子,椅子,"yǐzi ",N,ㄧˇ　˙ㄗ,入-69,66
,桌(子),桌,"zhuō(zi) ",N,ㄓㄨㄛ(˙ㄗ),入-70,67
,沙發,沙發,"shāfā ",N,ㄕㄚ　ㄈㄚ,入-71,68
,床,床,"chuáng ",N,ㄔㄨㄤˊ,入-72,69
,關,關,"guān ",V,ㄍㄨㄢ,入-73,70
,冷氣(機),冷氣,"lěngqì(jī) ",N,ㄌㄥˇ　ㄑㄧˋ(ㄐㄧ),入-74,71
,安靜,安靜,"ānjìng ",Vs,ㄢ　ㄐㄧㄥˋ,入-75,72
,不錯,不錯,"bùcuò ",Vs,ㄅㄨˋ　ㄘㄨㄛˋ,入-76,73
,海邊,海邊,"hǎibiān ",N,ㄏㄞˇ　ㄅㄧㄢ,入-77,74
,湖,湖,"hú ",N,ㄏㄨˊ,入-78,75
,馬,馬,"mǎ ",N,ㄇㄚˇ,入-79,76
,鳥,鳥,niǎo,N,ㄋㄧㄠˇ,入-80,77
,貓,貓,"māo ",N,ㄇㄠ,入-81,78
,雞,雞,"jī ",N,ㄐㄧ,入-82,79
,太陽,太陽,"tàiyáng ",N,ㄊㄞˋ　ㄧㄤˊ,入-83,80
,下雨,下雨,"xiàyǔ ",V-sep,ㄒㄧㄚˋ　ㄩˇ,入-84,81
,下雪,下雪,"xiàxuě ",V-sep,ㄒㄧㄚˋ　ㄒㄩㄝˇ,入-85,82
日常生活,新年,新年,"xīnnián ",N,ㄒㄧㄣ　ㄋㄧㄢˊ,入-86,83
,游泳,游泳,"yóuyǒng ",V-sep,ㄧㄡˊ　ㄩㄥˇ,入-88,84
,踢,踢,"tī ",V,ㄊㄧ,入-89,85
,足球,足球,"zúqiú ",N,ㄗㄨˊ　ㄑㄧㄡˊ,入-90,86
,籃球,籃球,"lánqiú ",N,ㄌㄢˊ　ㄑㄧㄡˊ,入-91,87
,網球,網球,"wǎngqiú ",N,ㄨㄤˇ　ㄑㄧㄡˊ,入-92,88
,棒球,棒球,"bàngqiú ",N,ㄅㄤˋ　ㄑㄧㄡˊ,入-93,89
,比賽,比賽,"bǐsài ",Vi,ㄅㄧˇ　ㄙㄞˋ,入-94,90
,比賽,比賽,"bǐsài ",N,ㄅㄧˇ　ㄙㄞˋ,入-95,91
,騎,騎,"qí ",V,ㄑㄧˊ,入-96,92
,腳踏車/自行車,腳踏車,"jiǎotàchē/zìxíngchē ",N,ㄐㄧㄠˇ　ㄊㄚˋ　ㄔㄜ/ㄗˋ　ㄒㄧㄥˊ　ㄔㄜ,入-97,93
,跑步,跑步,"pǎobù ",Vi,ㄆㄠˇ　ㄅㄨˋ,入-98,94
,電影院,電影院,"diànyǐngyuàn ",N,ㄉㄧㄢˋ　ㄧㄥˇ　ㄩㄢˋ,入-99,95
,表演,表演,"biǎoyǎn ",N,ㄅㄧㄠˇ　ㄧㄢˇ,入-100,96
,上網,上網,"shàngwǎng ",V-sep,ㄕㄤˋ　ㄨㄤˇ,入-101,97
,輸,輸,"shū ",Vp,ㄕㄨ,入-102,98
,贏,贏,"yíng ",Vp,ㄧㄥˊ,入-103,99
,有時候(˙ㄏㄡ),有時候(˙ㄏㄡ),"yǒushíhou ",Adv,ㄧㄡˇ　ㄕˊ　˙ㄏㄡ,入-104,100
,久,久,"jiǔ ",Vs-pred,ㄐㄧㄡˇ,入-105,101
,報紙,報紙,"bàozhǐ ",N,ㄅㄠˋ　ㄓˇ,入-106,102
與他人的關係,不客氣,不客氣,"bùkèqì ",,ㄅㄨˋ　ㄎㄜˋ　ㄑㄧˋ,入-107,103
,禮物,禮物,"lǐwù ",N,ㄌㄧˇ　ㄨˋ,入-108,104
,歡迎,歡迎,"huānyíng ",Vst,ㄏㄨㄢ　ㄧㄥˊ,入-109,105
,晚會,晚會,"wǎnhuì ",N,ㄨㄢˇ　ㄏㄨㄟˋ,入-110,106
,信封,信封,"xìnfēng ",N,ㄒㄧㄣˋ　ㄈㄥ,入-111,107
,寄,寄,"jì ",V,ㄐㄧˋ,入-112,108
,接,接,"jiē ",V,ㄐㄧㄝ,入-113,109
,郵局,郵局,"yóujú ",N,ㄧㄡˊ　ㄐㄩˊ,入-114,110
,銀行,銀行,"yínháng ",N,ㄧㄣˊ　ㄏㄤˊ,入-115,111
,警察,警察,"jǐngchá ",N,ㄐㄧㄥˇ　ㄔㄚˊ,入-116,112
,壞,壞,"huài ",Vp,ㄏㄨㄞˋ,入-117,113
,幫忙,幫忙,"bāngmáng ",V-sep,ㄅㄤ　ㄇㄤˊ,入-118,114
旅行,計程車,計程車,"jìchéngchē ",N,ㄐㄧˋ　ㄔㄥˊ　ㄔㄜ,入-119,115
,車站,車站,"chēzhàn ",N,ㄔㄜ　ㄓㄢˋ,入-120,116
,火車,火車,"huǒchē ",N,ㄏㄨㄛˇ　ㄔㄜ,入-121,117
,飛機,飛機,"fēijī ",N,ㄈㄟ　ㄐㄧ,入-122,118
,飛機場/機場,飛機場,"fēijīchǎng/jīchǎng ",N,ㄈㄟ　ㄐㄧ　ㄔㄤˇ/ㄐㄧ　ㄔㄤˇ,入-123,119
,馬路,馬路,"mǎlù ",N,ㄇㄚˇ　ㄌㄨˋ,入-124,120
,十字路口,十字路口,"shízìlùkǒu ",N,ㄕˊ　ㄗˋ　ㄌㄨˋ　ㄎㄡˇ,入-125,121
,對面,對面,"duìmiàn ",N,ㄉㄨㄟˋ　ㄇㄧㄢˋ,入-126,122
,裡面,裡面,"lǐmiàn ",N,ㄌㄧˇ　ㄇㄧㄢˋ,入-127,123
,旅行,旅行,"lǚxíng ",Vi,ㄌㄩˇ　ㄒㄧㄥˊ,入-128,124
,飯店,飯店,"fàndiàn ",N,ㄈㄢˋ　ㄉㄧㄢˋ,入-129,125
,旅館,旅館,"lǚguǎn ",N,ㄌㄩˇ　ㄍㄨㄢˇ,入-130,126
,參觀,參觀,"cānguān ",V,ㄘㄢ　ㄍㄨㄢ,入-131,127
,地圖,地圖,"dìtú ",N,ㄉㄧˋ　ㄊㄨˊ,入-132,128
,照相機,照相機,"zhàoxiàngjī ",N,ㄓㄠˋ　ㄒㄧㄤˋ　ㄐㄧ,入-133,129
,照相,照相,"zhàoxiàng ",V-sep,ㄓㄠˋ　ㄒㄧㄤˋ,入-134,130
,風景,風景,"fēngjǐng ",N,ㄈㄥ　ㄐㄧㄥˇ,入-135,131
健康及身體照護,頭,頭,"tóu ",N,ㄊㄡˊ,入-136,132
,頭髮,頭髮,"tóufǎ ",N,ㄊㄡˊ　ㄈㄚˇ,入-137,133
,耳朵,耳朵,ěrduo,N,ㄦˇ　˙ㄉㄨㄛ,入-138,134
,手指(頭),手指(頭),shǒuzhǐ(tou),N,ㄕㄡˇ　ㄓˇ(˙ㄊㄡ),入-139,135
,肚子,肚子,"dùzi ",N,ㄉㄨˋ　˙ㄗ,入-140,136
,健康,健康,"jiànkāng ",Vs,ㄐㄧㄢˋ　ㄎㄤ,入-141,137
,感冒,感冒,"gǎnmào ",Vp,ㄍㄢˇ　ㄇㄠˋ,入-142,138
,生病,生病,"shēngbìng ",Vp-sep,ㄕㄥ　ㄅㄧㄥˋ,入-143,139
,受傷,受傷,"shòushāng  ",Vp-sep,ㄕㄡˋ　ㄕㄤ,入-144,140
,餓,餓,"è ",Vs,ㄜˋ,入-145,141
,渴,渴,"kě ",Vs,ㄎㄜˇ,入-146,142
,舒服(˙ㄈㄨ),舒服(˙ㄈㄨ),shūfu,Vs,ㄕㄨ　˙ㄈㄨ,入-147,143
,眼鏡,眼鏡,"yǎnjìng ",N,ㄧㄢˇ　ㄐㄧㄥˋ,入-148,144
,痛,痛,"tòng ",Vs,ㄊㄨㄥˋ,入-149,145
購物,希望,希望,"xīwàng ",Vst,ㄒㄧ　ㄨㄤˋ,入-150,146
,商店,商店,"shāngdiàn ",N,ㄕㄤ　ㄉㄧㄢˋ,入-151,147
,店,店,"diàn ",N,ㄉㄧㄢˋ,入-152,148
,重要,重要,"zhòngyào ",Vs,ㄓㄨㄥˋ　ㄧㄠˋ,入-153,149
,公斤,公斤,"gōngjīn ",M,ㄍㄨㄥ　ㄐㄧㄣ,入-155,150
,顏色,顏色,"yánsè ",N,ㄧㄢˊ　ㄙㄜˋ,入-156,151
,黃色,黃色,"huángsè ",N,ㄏㄨㄤˊ　ㄙㄜˋ,入-157,152
,白色,白色,"báisè ",N,ㄅㄞˊ　ㄙㄜˋ,入-158,153
,襪子,襪子,"wàzi ",N,ㄨㄚˋ　˙ㄗ,入-159,154
,裙子,裙子,"qúnzi ",N,ㄑㄩㄣˊ　˙ㄗ,入-160,155
,短,短,"duǎn ",Vs,ㄉㄨㄢˇ,入-161,156
,小心,小心,"xiǎoxīn ",Vs,ㄒㄧㄠˇ　ㄒㄧㄣ,入-162,157
飲食,牛奶,牛奶,"niúnǎi ",N,ㄋㄧㄡˊ　ㄋㄞˇ,入-163,158
,蛋,蛋,"dàn ",N,ㄉㄢˋ,入-164,159
,餃子,餃子,"jiǎozi ",N,ㄐㄧㄠˇ　˙ㄗ,入-165,160
,麵,麵,"miàn ",N,ㄇㄧㄢˋ,入-166,161
,湯,湯,"tāng ",N,ㄊㄤ,入-167,162
,包子,包子,"bāozi ",N,ㄅㄠ　˙ㄗ,入-168,163
,蛋糕,蛋糕,"dàngāo ",N,ㄉㄢˋ　ㄍㄠ,入-169,164
,麵包,麵包,"miànbāo ",N,ㄇㄧㄢˋ　ㄅㄠ,入-170,165
,水果,水果,"shuǐguǒ ",N,ㄕㄨㄟˇ　ㄍㄨㄛˇ,入-171,166
,香蕉,香蕉,"xiāngjiāo ",N,ㄒㄧㄤ　ㄐㄧㄠ,入-172,167
,食物,食物,"shíwù ",N,ㄕˊ　ㄨˋ,入-173,168
,飲料,飲料,"yǐnliào ",N,ㄧㄣˇ　ㄌㄧㄠˋ,入-174,169
,果汁,果汁,"guǒzhī ",N,ㄍㄨㄛˇ　ㄓ,入-175,170
,杯子,杯子,"bēizi ",N,ㄅㄟ　˙ㄗ,入-176,171
,甜,甜,"tián ",Vs,ㄊㄧㄢˊ,入-178,172
,菜單,菜單,"càidān ",N,ㄘㄞˋ　ㄉㄢ,入-179,173
,巧克力,巧克力,"qiǎokèlì ",N,ㄑㄧㄠˇ　ㄎㄜˋ　ㄌㄧˋ,入-180,174
,碗,碗,"wǎn ",N,ㄨㄢˇ,入-181,175
,盤子,盤子,"pánzi ",N,ㄆㄢˊ　˙ㄗ,入-182,176
,片,片,"piàn ",M,ㄆㄧㄢˋ,入-183,177
,一半/一半兒,一半/一半兒,yībàn/yībànr,Det,"ㄧ　ㄅㄢˋ / ㄧㄅㄢˋㄦ",入-184,178
其他,過,過,"guò ",V,ㄍㄨㄛˋ,入-185,179
,一定,一定,"yīdìng ",Adv,ㄧ　ㄉㄧㄥˋ,入-186,180
